Jobname,Status,Created By,Frequency,Start date,Start time,Instance
Z1_BC_REPROCESS_SM58,Active,SAPSYS,15 min(s),2023-09-25,19:54:08,pjrw3106_PJR_01
Z1_BC_REPROCESS_SM58,Active,SAPSYS,15 min(s),2023-09-25,20:09:09,pjrw3106_PJR_01
Z1_BC_REPROCESS_SM58,Active,SAPSYS,15 min(s),2023-09-25,20:24:09,pjrw3106_PJR_01
Z1_BC_REPROCESS_SM58,Active,SAPSYS,15 min(s),2023-09-25,20:39:09,pjrw3101_PJR_01
Z1_BC_REPROCESS_SM58,Active,SAPSYS,15 min(s),2023-09-25,20:54:09,pjrw3106_PJR_01
Z1_FTD_PPPE_ENERIZE_ACTRESULT,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_FTD_PPPE_ENERIZE_ACTRESULT,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_FTD_PPPE_ENERIZE_ACTRESULT,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_FTD_PPPE_ENERIZE_ACTRESULT,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_FTD_PPPE_ENERIZE_ACTRESULT,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_FTD_WM_QRLBL_UPD,Active,SAPSYS,15 min(s),2023-09-25,21:00:03,pjrw3102_PJR_01
Z1_PTP_UPDATE_PURCHINFO,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_PTP_UPDATE_PURCHINFO,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z1_PTP_UPDATE_PURCHINFO,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_FTD_WM_DIRECT_PICKING_ALLJA,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_FTD_WM_JDC_AUTOPGI_WAVE6-2,Active,SAPSYS,1 hour(s),2023-09-25,21:01:41,pjrw3106_PJR_01
Z2_FTD_WM_JDC_AUTOPGI_WAVE6-3,Active,SAPSYS,1 hour(s),2023-09-25,21:01:33,pjrw3110_PJR_01
Z2_FTD_WM_JDC_AUTOPGI_WAVE6-4,Active,SAPSYS,1 hour(s),2023-09-25,21:01:25,pjrw3106_PJR_01
Z2_OTC_IOM_EOS_ORD_REPOST,Active,SAPSYS,30 min(s),2023-09-24,15:38:30,pjrw3101_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_AR_AUTO_CLEAR_27_Z001,Active,SAPSYS,1 hour(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_INV_RECV,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
Z2_RTR_INV_RECV,Active,SAPSYS,1 day(s),2023-09-25,21:00:03,pjrw3109_PJR_01
